Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Genre_Classical,Genre_Country,Genre_EDM,Genre_Folk,Genre_Gospel,Genre_Hip hop,Genre_Jazz,Genre_K pop,Genre_Latin,Genre_Lofi,Genre_Metal,Genre_Pop,Genre_R&B,Genre_Rap,Genre_Rock,Genre_Video game music,Stream_Apple Music,Stream_I do not use a streaming service.,Stream_Other streaming service,Stream_Pandora,Stream_Spotify,Stream_YouTube Music
0.11392405063291139,0.20833333333333331,1,0,0,1,1,0.5363636363636364,1,1,2,3,1,3,2,0,0,1,1,1,3,3,2,1,6.0,7.0,5.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.10126582278481011,0.08333333333333333,1,0,0,0,1,0.35909090909090907,1,1,2,0,0,1,0,1,2,0,0,3,0,0,0,1,3.0,3.0,8.0,6.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.07594936708860758,0.125,1,1,1,1,1,0.3818181818181818,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,10.0,6.0,8.0,10.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0.10126582278481011,0.08333333333333333,0,0,0,1,1,0.7681818181818182,2,1,1,3,1,1,1,3,0,2,0,3,2,2,2,0,7.0,4.0,2.0,5.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.050632911392405056,0.5,1,1,1,1,1,0.6181818181818182,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,8.0,6.0,10.0,5.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.10126582278481011,0.25,1,1,1,0,1,0.45909090909090905,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,3.0,2.0,1.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.08860759493670886,0.08333333333333333,1,1,0,1,1,0.5727272727272728,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,6.0,6.0,4.0,5.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.08860759493670886,0.041666666666666664,1,0,0,1,0,0.8318181818181818,1,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,8.0,2.0,1.0,5.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.12658227848101267,0.20833333333333331,1,1,0,1,1,0.5454545454545454,0,1,1,3,0,3,2,0,2,2,3,2,2,2,3,1,7.0,7.0,2.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
0.11392405063291139,0.08333333333333333,1,0,0,0,0,0.5454545454545454,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,4.0,4.0,4.0,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.11392405063291139,0.25,1,1,0,1,1,0.5454545454545454,0,0,0,1,0,1,2,1,0,2,3,2,0,0,2,2,9.0,8.0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.08860759493670886,0.16666666666666666,0,0,0,1,1,0.6454545454545454,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,5.0,6.0,6.0,1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.07594936708860758,0.041666666666666664,1,0,0,0,0,0.3409090909090909,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.10126582278481011,0.20833333333333331,1,1,0,1,0,0.5454545454545454,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,0,3.0,2.0,1.0,1.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.1392405063291139,0.16666666666666666,1,0,0,0,1,0.40454545454545454,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,6.0,8.0,0.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.08860759493670886,0.125,1,0,0,1,0,0.5454545454545454,0,0,2,0,0,3,1,2,0,0,1,3,2,3,3,0,2.0,0.0,4.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.20253164556962022,0.020833333333333332,0,0,0,0,1,0.6363636363636364,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,9.0,8.0,1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0.12658227848101267,0.16666666666666666,1,0,0,1,0,0.7318181818181818,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,7.0,2.0,8.0,6.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.16455696202531644,0.08333333333333333,1,1,1,1,0,0.36363636363636365,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,4.0,2.0,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.10126582278481011,0.20833333333333331,1,1,0,1,0,0.5909090909090908,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,7.0,6.0,5.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.34177215189873417,0.010416666666666666,0,0,0,1,0,0.6681818181818181,3,1,0,1,0,1,2,0,1,0,0,3,2,0,2,2,3.0,2.0,10.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.08860759493670886,0.125,1,0,0,1,1,0.5454545454545454,3,0,3,0,0,3,2,2,1,2,0,2,3,3,1,2,6.0,6.0,8.0,2.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.10126582278481011,0.16666666666666666,1,0,0,1,1,0.35,1,0,0,0,0,3,1,0,0,0,3,2,2,3,3,3,1.0,0.0,8.0,2.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.08860759493670886,0.041666666666666664,1,1,1,0,0,0.5363636363636364,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,7.0,3.0,1.0,5.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3291139240506329,0.041666666666666664,0,1,1,0,0,0.6,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,8.0,9.0,3.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.17721518987341772,0.125,1,0,0,1,1,0.5227272727272727,1,0,1,2,0,0,0,1,0,3,1,2,0,0,3,2,9.0,6.0,4.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.10126582278481011,0.20833333333333331,1,0,1,1,1,0.7136363636363636,0,0,1,1,0,3,1,0,1,1,3,2,1,3,3,0,7.0,9.0,5.0,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.11392405063291139,0.125,1,0,0,0,1,0.40909090909090906,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,7.0,4.0,2.0,4.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.08860759493670886,0.08333333333333333,1,1,0,1,0,0.5818181818181818,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0.0,0.0,0.0,0.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.07594936708860758,0.25,1,0,0,1,1,0.7681818181818182,1,0,0,1,2,3,1,3,3,3,0,2,3,3,1,0,7.0,8.0,7.0,5.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.16455696202531644,0.041666666666666664,0,0,0,0,1,0.6363636363636364,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,10.0,6.0,3.0,10.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.16455696202531644,0.5,1,0,0,1,1,0.43636363636363634,3,1,0,3,0,1,2,1,1,1,0,3,2,1,1,0,3.0,7.0,5.0,5.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.15189873417721517,0.16666666666666666,1,0,1,1,1,0.5727272727272728,1,0,1,2,0,1,1,0,0,1,2,3,2,1,3,1,8.0,7.0,4.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.07594936708860758,0.08333333333333333,1,1,0,1,0,0.5454545454545454,3,0,0,0,0,1,2,0,0,0,0,1,1,1,2,1,0.0,0.0,1.0,3.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.10126582278481011,0.25,1,0,0,1,0,0.41363636363636364,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,8.0,6.0,2.0,10.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0.40506329113924044,0.0,1,0,0,0,1,0.5454545454545454,1,1,0,0,0,0,1,0,0,0,2,1,1,0,2,2,9.0,0.0,10.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.16455696202531644,0.29166666666666663,1,0,0,1,1,0.25,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,6.0,4.0,2.0,3.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.16455696202531644,0.041666666666666664,1,1,0,0,0,0.38636363636363635,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,7.0,0.0,0.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0.11392405063291139,0.041666666666666664,0,1,0,1,1,0.7272727272727273,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,10.0,1.0,0.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.15189873417721517,0.041666666666666664,0,1,0,1,0,0.4909090909090909,1,0,2,1,0,0,3,0,0,0,0,2,1,0,3,1,8.0,7.0,0.0,5.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
